,Unnamed: 0,full_text,tweet_english
26,26,jangan lupa kasus kaporli lindung usaha timah jagung teror densus88 masyarakat jangan fokus alih kasus vina karena jagung sedang selidik korupsi libat kapolri untung jaga kawal tni,don't forget the case of kaporli hindung usaha tin maize terror densus88 community don't focus on the case of vina because maize is investigating corruption libat kapolri profit keep guard tni
27,27,jaksa periksa kd suami atas duga korupsi timah harvey moeis aku kira kd as krisdayanti singkat kd udah iconic banget apa hubung kd n raul los sama hm nyata kd as kartika dewi adeknya sd,prosecutor check kd husband on suspicion of tin corruption harvey moeis i think kd as krisdayanti short kd already very iconic what is the connection kd n raul los same hm real kd as kartika dewi adeknya sd
28,28,perintah kapok dengan korupsi tambang timah ilegal kalau hukum penjara jabat negara takut lawan hukum nanti kalau sistem hukum mti spt dichina pasti gak berani buat atur spt,kapok orders with illegal tin mining corruption if the prison law of the state superintendent is afraid of legal opponents later if the legal system of MTI like dichina must not dare to regulate the SPT
29,29,kasuh korupsi tambang timah 271 t lenyap lihat salam pancasila merdeka,kasuh corruption tin mine 271 t vanished see salam pancasila merdeka
30,30,bawah jujur jendralnya maling jual sabu korupsi timah heran ranking 1 korupsi se asia tenggara,under honesty the general thieves selling methamphetamine tin corruption wonder rank 1 corruption in Southeast Asia
31,31,jenderal aktifapalagi jenderal pensiun sikat habis apabila jd becking kasus korupsi timah 300 triliun,general active general retirement brush exhausted if jd becking lead corruption case 300 trillion
32,32,kirain masa akhir jabat nya kasus korupsi timah semua laku nya di hukum mati remisi di miskin kan koruptor di hukum mati,"kirain at the end of his tenure in the tin corruption case, all his sales in the death penalty, remission in the poor, right, corruption in the death penalty"
33,33,tuju apa bayar kas bon kemaren tambah lama ko kyknya tmbah ngaco korupsi timah korupsi syl korupsi emas kasus vina tapera ruu siar tambahin klo yang klewat,what is the purpose of paying cash bonds yesterday the longer the ko kyknya tmbah ngaco corruption tin corruption syl corruption gold case vina tapera ruu siar Addin klo who missed
34,34,gencar kasus mati vina cirebon ketua knpi riau bilang alih isu kasus korupsi timah rp 271 t,incessant death case vina cirebon chairman knpi riau said instead of the issue of tin corruption case rp 271 t
35,35,misal negara udah ga kuat jujur minta rakyat urun buat bayar utang telah kasus korupsi syl 271 t pt timah tppu berita uap aja bansos pilpres ikn kcic masih banyak yang perintah ludah sama warga,"for example, the state is not strong enough to honestly ask the people of urun to pay debts, it has been a case of corruption syl 271 t pt tin tppu steam news aja bansos pilpres ikn kcic there are still many who order spit with the citizens"
36,36,gtgt geger anggota densus ciduk pom tni kuntit jampidsus apa jadi balik ada hubung korupsi timah 300t tonton sekarang youtube ilc,gtgt geger member densus ciduk pom tni stalk jampidsus apa jadi jadi ada hubung corruption tin 300t watch now youtube ilc
37,37,usut perkara korupsi timah panas hubung polri jagung tegang cuat bongkar kasus kuntit j,usut hot tin corruption case tense corn polyri link cuat unload stalk case j
38,38,jaksa agung sebut rugi korupsi timah tembus rp 300 triliun,attorney general says tin corruption loss translates to Rp 300 trillion
39,39,bertubitubi kasus korupsi muncul negeri belum kelar kasus korupsi timah menteri rani tol mbz muncul kasus korupsi anak perusahaaan telkom,overlapping corruption cases appear that the country has not yet finished the tin corruption case of the minister of rani tol mbz emerges the corruption case of the subsidiary of the telkom company
40,40,lupa mau share indonesia repot sama isu korupsi timah bea cukai iur tapera,forget to share Indonesia hassle with the issue of tin corruption customs iur tapera
41,41,densus88 pom tni jampidsus korupsi timah 300t johnson panjaitan ini bertahuntahun biasa pak ngadepin brinyot di suruh2 biasa order perusahaanperusahaan swasta untu ngadepin di lapang biasa lengkap,densus88 pom tni jampidsus tin corruption 300t johnson panjaitan this is an ordinary year pak ngadepin brinyot told2 ordinary order companies private companies to ngu ngadepin in an ordinary field complete
42,42,ber tubi kasus korupsi muncul negeri iniblum klar kasus korupsi timah menteri tani amp tol mbz kan muncul ksus korupsi anak perusahaaan telkom,persisting corruption cases appear in this country blum klar tin corruption case farmer minister & mbz toll right ksus corruption of telkom subsidiaries
43,43,maki ancam gugat jagung rbs lolos kasus korupsi pt timah youtube,threatening to sue corn rbs to escape corruption case pt tin youtube
44,44,ketua mui kan nu alhamdulillah nu kelola tambang siapa tahu untung besar gak korupsi tambang timah,chairman of mui nu alhamdulillah nu manage the mine who knows the big profit or not the corruption of tin mines
45,45,tuju banget salam dar toleransi dimasalahin biasa nih kalo isu kayak begini biasa buat nutupin bijak aneh korupsi contoh tapera ubah umur ma korupsi timah emas limpo dkk sengaja buat nutupin semua,"really go to greetings from tolerance in the usual problem, if the issue of kayaking is like this, it is common for nutupin to be wise, strange corruption, for example, tapera change the age of ma gold tin corruption, limpo et al deliberately to nutupin all"
46,46,koordinator maki kabar libat presiden jokowi keluarga korupsi timah batas fitnah tag twtw aja vini tolol malming bandung tapera sponge minggu,coordinator maki news involving the president jokowi family corruption tin border defamation tag twtw aja vini moron malming bandung tapera sponge week
47,47,gtgt geger anggota densus ciduk pom tni kuntit jampidsus apa jadi balik ada hubung korupsi timah 300t tonton sekarang youtube ilc,gtgt geger member densus ciduk pom tni stalk jampidsus apa jadi jadi ada hubung corruption tin 300t watch now youtube ilc
48,48,alih isu kawal terus kasus korupsi timah 300t,change the issue of controlling lead corruption cases 300t
49,49,percuma bro smua investasi chinaapanya mau banggain bumn jg habis bikin bancak korupsi pr antam smp pt timah,free bro smua investment chinaapanya want to banggain bumn jg exhausted make bancak corruption pr antam smp pt tin
50,50,gtgt geger anggota densus ciduk pom tni kuntit jampidsus apa jadi balik ada hubung korupsi timah 300t tonton sekarang youtube ilc,gtgt geger member densus ciduk pom tni stalk jampidsus apa jadi jadi ada hubung corruption tin 300t watch now youtube ilc
51,51,bingung ngumpulin dana buat program makan siang gratis depan ikn psn belum kelar proyek ambisius jalan mau naikin gaji jabat utk cegah korupsi kata pdhl byk uang yang hlng korupsi cthnya syl kasus timah antam,confused about collecting funds for a free lunch program ahead of time ikn psn has not finished an ambitious project on the road to increase the salary of the office to prevent corruption said pdhl by money that is hlng corruption eg syl tin antam case
52,52,ayo keluar semua berita2 alih perhati dr korupsi timah lebih bombastis,let's get out all the news instead of paying attention to the more bombastic tin corruption
53,53,porakporanda 1 iup freeport panjang smp 2061 2 smelter jadi2 3 bagi2 iup ormas 4 korupsi timah 300 t 5 korupsi emas 109 ton 6 tambang ilegal rebak beking aparat 7 eks dirjen minerba tsk 8 smelter ledak 9 hilir tengah hati,porakporanda 1 iup freeport long smp 2061 2 smelter so2 3 for 2 iup ormas 4 tin corruption 300 t 5 gold corruption 109 tons 6 illegal mines rebak beking apparatus 7 ex-minerba director general tsk 8 explosive smelter 9 downstream middle of the heart
54,54,mantap tapera kubur fakta korupsi timah korupsi antam mudah,steady tapera grave fact corruption tin corruption antam easy
55,55,korupsi timah korupsi antam jabat negara foya2 rakyat kasih pajak itu,tin corruption corruption between state officials foya2 people love the tax
56,56,populer inisial kd kasus korupsi timah vs tiara andini tuding tak profesional,popular initials kd tin vs. tiara corruption case andini unprofessional pointing
57,57,korupsi timah mulai seret petinggi aparat2 ayo fokus jgn mau kecoh isu2 agama gak penting,"tin corruption began to drag the higher ups of the apparatus, let's focus on not wanting to fuss over unimportant religious issues"
58,58,kasus korupsi timah sdh milai seret petinggi2 polisi,tin corruption case sdh milai drag the top brass of the police
59,59,padahal kalau sabar dikit aja hasil korupsi timah besar 300t pakai ganti tapera,"even though if you are patient, just a little bit is the result of large lead corruption, 300t use instead of tapera"
60,60,hibur kandung bohong gt aja ga bs nyimak buzzer isu agama mulai gang geng gong buat halau isu tapera ppn korupsi timah emas palsu sedih,biological entertainment lies gt aja ga bs listen to the buzzer religious issues start gang gang gong to get rid of the issue tapera ppn corruption tin gold false sad
61,61,12 herviano pdip seret korupsi timah 300 t,12 herviano pdip drag lead corruption 300 t
62,62,buat halau isu ukt ppn tapera korupsi timah antam palsu hembus isu dgn bentur muslim vs non muslim masuk urus salam jabat habis ide buzzer lgs trima order,to get rid of the issue of ukt ppn tapera corruption tin antam fake blow the issue by banging Muslims vs non-Muslims into managing greetings after the idea of buzzer lgs trima order
63,63,8 rbs pegang peran penting korupsi timah 300 t,8 rbs holds the important role of lead corruption 300 t
64,64,2 korupsi timah capai 300 t,2 lead corruption reach 300 t
65,65,gtgt geger anggota densus ciduk pom tni kuntit jampidsus apa jadi balik ada hubung korupsi timah 300t tonton sekarang youtube ilc,gtgt geger member densus ciduk pom tni stalk jampidsus apa jadi jadi ada hubung corruption tin 300t watch now youtube ilc
66,66,wow jenderal polisi rial b libat korupsi timah nilai fantastis sekarang 300 t,wow police general rial b involved tin corruption fantastic value now 300 t
67,67,tapera hrs batal 1 mega korupsi timah ungkap 2 uang tak tuan kata mahfud md kisar 345 t 3 hukum bisa lawan korupsi 4 tangan kasus asabri jiwasraya abu2 5 bansos utk pilpres jumlah 471 t belum jelas,tapera hrs void 1 mega tin corruption say 2 money not sir word mahfud md kisar 345 t 3 law can fight corruption 4 hand case asabri jiwasraya abu2 5 bansos for presidential election number 471 t is not yet clear
68,68,mau natal jauh pasti belokin trending topik soal tapera kaesang nyagub 300t korupsi timah emas palsu antem,want Christmas away definitely turn trending topic about tapera kaesang nyagub 300t corruption tin gold fake antem
69,69,kerja opo rakyat kecil jgn peras pak uang hasil korupsi kejar korupsi timah emas antam bea cukai yang di kejar,"opo work of the small people, do not extort money from corruption, pursue corruption of tin gold between customs, which is pursued"
70,70,alih isu wagub korupsi timah oia ama ruu siar,over the issue of tin corruption wagub oia ama ruu siar
71,71,gtgt geger anggota densus ciduk pom tni kuntit jampidsus apa jadi balik ada hubung korupsi timah 300t tonton sekarang youtube ilc,gtgt geger member densus ciduk pom tni stalk jampidsus apa jadi jadi ada hubung corruption tin 300t watch now youtube ilc
72,72,kecebong lg jd alat alih issue csis lg rame skrg tapera korupsi timah emas malah jual agama ini bentuk bodoh masyarakat,tadpole lg jd transfer tool issue csis lg rame now tapera corruption tin gold instead sell this religion stupid form of society
73,73,rame tapera korupsi timah emas eh kecebong jual agama alih issue bodoh masyarakat bego,rame tapera corruption tin gold eh tadpole selling religion instead of stupid issues of the community bego
74,74,jangan2 ciprat uang korupsi pt timah,don't splash corruption money pt tin
75,75,ada penting orang ganggu berantas korupsi timah 261 triliun benar kata alm gus gur,there are important people disturbing the fight against tin corruption 261 trillion true said alm gus gur
76,76,salut pd erik mampu angkat prestasi pssi pd level asia tp pd kasus korupsi timah bukti libat salah ikut sbg terima manfaat mk koruptor adl tetap koruptor hukum,salut pd erik able to lift pssi achievement pd asia level tp pd tin corruption case evidence of wrong involvement participate as receive benefits mk corrupt adl remain corrupt legal
77,77,jangan2 duit korupsi timah,don't let tin corruption money
78,78,korupsi fantastis tata niaga timah berita kini independen percaya kbr,fantastic corruption tin trade system news is now independent believe kbr
79,79,kd suami periksa jagung kait kasus korupsi timah,kd husband check corn hook for lead corruption case
80,80,boy jangan asal bacot korupsi bukan presiden jokowi korupsi menteri2 partai nasdem sudah tangkap korupsi pt timah bukan presiden korup para mantan dirutnya banyak orang luar presiden jokowi jangan bacot yang lain ya drun end,boy don't just bacot corruption not the president jokowi corruption ministers of the nasdem party have caught corruption pt tin not the corrupt president of the former he dirinya many people outside the president jokowi don't bacot others yes drun end
81,81,bener bnget pas berita nya vina viral udah sadar tutup kasus korupsi timah tu,bener bnget pas Berita nya vina viral sudah sedarutup case corruption tin tu
82,82,kok kasus vina ledak bahas dimana2 begitu curiga kasus vina buat nutupin kasus korupsi timah deh,why is the case of the explosive vina discussed everywhere so suspicious of the case of the vina for closing the tin corruption case
83,83,ahli korupsi timah,lead corruption expert
84,84,kasus sudah 8 tahun angkat pas kasus korupsi timah nikel bentur jagung densus88 sedang akting tuju apa,the case has been raised for 8 years after the nickel tin corruption case hit corn densus88 is acting towards
85,85,tiga ramai media sosial 1 kasus bunuh vina cirebon 2 kasus korupsi pt timah tbk 3 kuntit brimob jagung bagaimana ujung tiga sebut yang hasil jadi konsentrasi masyarakat indonesia,three crowded social media 1 case of killing vina cirebon 2 cases of corruption pt tin tbk 3 stalks brimob maize how do the three ends say the result is the concentration of Indonesian society
86,86,robert bonosusatya tak sentuh kasus duga korupsi timah kok,robert bonosusatya did not touch the suspected case of tin corruption
87,87,viral 300 t x nilai rugi negara hingga daftar 22 sangka kasus korupsi timah,viral 300 t x state losses up to a list of 22 suspected cases of lead corruption
88,88,intimidasi anggota densus 88 amp kepung kantor jaksa brimob sudah indikasi kuat beking korupsi timah tubuh polri jangan kaya orang bego bongkar dengan jujur,"intimidation of members of the 88 amp Densus surrounding the Brimob prosecutor's office has a strong indication of tin corruption in the police body, don't get rich, people want to disassemble honestly"
89,89,negara laen gada pancasila luruslurus ajamalah kata negara komunis gada korupsi bansos sampe timah,country laen gada Pancasila straight ajamalah kata negara communist gada corruption bansos sampe tin
90,90,pandji jokowi makin ugalugalan mens rea selebriti cuci uang korupsi timah,pandji jokowi getting uglugalan mens rea celebrity washing tin corruption money
91,91,partai legal jamin uu perintah aja mau begal cuma uang rakyat gak jamin lindung jamin pertanggungjawaban raib di korupsi noh timah aja 300t maling emas antam 109 ton asabri taspen kurang ap makan haram,legal party guarantee uu order just want begal only public money not guarantee guarantee guarantee liability lost in corruption noh tin only 300t gold thief antam 109 tons asabri taspen less ap eating haram
92,92,luar biasa rakus bbrp oknum purnjenderal ikut membackup ciprat korupsi timah nila rp300 t penghianat sapta marga ber tobat jenderal ajal renggut,extraordinarily voracious bbrp ocnum fullfoot participated in backing up tin tilapia corruption chips rp300 t traitor sapta marga penitent general death snatch
93,93,jagung periksa adik artis sandra dewi kait kasus korupsi timah lewat bogor,corn check artist Sandra's sister goddess hook tin corruption case through Bogor
94,94,hari adalah hari lahir mu butir makna mu banyak khianat selamat hari lahir pancasila 1 juni 2024,"day is your birthday item meaning you betrayed a lot happy birthday Pancasila June 1, 2024"
95,95,bola liar kasus mega korupsi pt timah jagung sorot kerja kpk tangan pgn indepth petingga pt usaha gas negara pgn duga seret dalam kasus korupsi atas itu kpk desak baca,wild ball mega case of corruption pt tin corn highlight work kpk hand pgn indepth petingga pt state gas business pgn suspected drag in corruption case over it kpk urge read
96,96,orang cina gak berani korupsi negara cina krn hukum mati mau tangkap jagung profil hendry lie sangka kasus timah,chinese people do not dare to corruption the chinese state because the death penalty wants to catch corn profile hendry lie thought tin case
97,97,sidik jampidsus sentuh orang inisial rbs korupsi timah maki gugat praperadilan,jampidsus prints touch people initials rbs tin corruption maki pretrial lawsuit
98,98,muncul isu ginian arti priatiwa mau tutup pola lama sering ulang tapera korusi emas korupsi timah putus ma kan soal lama ngapain diulang2 fatwa,emerges the issue of ginian meaning priatiwa want to close the old pattern often repeat tapera corusi gold corruption tin break ma kan matter lama ngapa repeated fatwa
99,99,ubah atur uu tni uu polri tapera ukt gas isi kurang korupsi timah emas pajak naik subsidi rang harga naik,adjust uu tni uu polyri tapera ukt gas fill less corruption tin gold tax increase subsidy rang price rise
100,100,bola liar kasus mega korupsi pt timah jagung sorot kerja kpk tangan pgn indepth,wild ball mega corruption case pt tin corn highlight work kpk hand pgn indepth
101,101,alih isu putus ma sama korupsi timah emas palsu antam gin negara bngst,over the issue of breaking up ma same corruption tin gold fake antam gin bngst country
102,102,ah kecil 32t mah pak lurah be like 500t buat investasi presiden lanjut 271t buat korupsi timah ra ono opo opo32t mah,ah small 32t mah pak lurah be like 500t for further presidential investment 271t for tin corruption ra ono opo opo32t mah
103,103,belum mikrin isu ampas tanah adat papua korupsi syl lanjut mega korupsi timah lanjut korupsi antam pp ormas agama kelola tambang awal janji kampanye oke gas sibuk banget jd rakyat boro2 mikirin pacar,not yet micrin the issue of the pulp of Papuan customary land corruption syl further mega corruption tin further corruption antam pp religious mass organizations manage mines early campaign promises okay gas is very busy jd people boro2 thinking about boyfriends
104,104,sedikit ralat maksud maki sinyalir rbs aktor intelektual balik kasus korupsi timah dapat beking orang kuat polisi perintah,a slight error in the meaning of cussing signals rbs intellectual actors behind tin corruption cases can back up strongmen police orders
105,105,betapa kuat kpk jagung tetap di satron koruptor asabri taspen bumn tambang timah tapera adlh ladang baru korupsi,how strong is the kpk of corn fixed in the corrupt satron asabri taspen bumn tin mines tapera adlh new fields of corruption
106,106,tegas tega hukum era presiden jokowi tak pandang bulu jagung ungkap laku korupsi timah rugi negara 6 sd twtw aja bonek mahkamah adik pancasila dortmund akhir juni indonesia emas 2045,assertive tega law era president jokowi indiscriminate corn reveal corruption tin state loss 6 sd twtw aja bonek court sister pancasila dortmund late juni indonesia gold 2045
107,107,tegas tega hukum era presiden jokowi tak pandang bulu jagung ungkap laku korupsi timah rugi negara 6 sd twtw aja bonek mahkamah adik pancasila dortmund akhir juni indonesia emas 2045,assertive tega law era president jokowi indiscriminate corn reveal corruption tin state loss 6 sd twtw aja bonek court sister pancasila dortmund late juni indonesia gold 2045
108,108,tegas tega hukum era presiden jokowi tak pandang bulu jagung ungkap laku korupsi timah rugi negara 6 sd twtw aja bonek mahkamah adik pancasila dortmund akhir juni indonesia emas 2045,assertive tega law era president jokowi indiscriminate corn reveal corruption tin state loss 6 sd twtw aja bonek court sister pancasila dortmund late juni indonesia gold 2045
109,109,banyak bijak jokowi lbp bahlil bidang investasi tambang coba pt timah korupsi 300 t fakta yang alami jawa barat apa ka cepat bukan korupsi berapa utang pt kai bangun harga satu lok rel masuk bebas lahan korup,many wise jokowi lbp bahlil field of mining investment try pt tin corruption 300 t natural facts of west java what is ka fast not corruption how much debt pt kai build the price of one loc rail entrance free of corrupt land
110,110,korupsi timah langsung ilang berita,tin corruption directly ilang news
111,111,akhir masyarakat simpul sendiri siapa backing mafia korupsi tambang timah,the end of the node community itself who is backing the tin mine corruption mafia
112,112,media90 adik artis kenal sandra dewi identitas ungkap jadi salah satu saksi kasus korupsi jerat kelola tata niaga komoditas timah pt timah tbk lama periode 20152022 tim sidik jaksa agung,"media90 artist's sister knows Sandra, the goddess of identity, is one of the witnesses to the corruption case, the snare of tin commodity governance, pt tin, for a period of 20152022 the attorney general's fingerprint team"
113,113,wowwow 2010 2022 nyaman korupsi indonesia aneh jadi tambang lalu timah ilegal sekarang 109 ton emas palsu lama tidak audit bpk,wowwow 2010 2022 convenient corruption indonesia bizarre so then illegal tin mine now 109 tons of fake gold long time no audit bpk
114,114,kata kapuspenkum ketut sumedana memang benar isu bukan isu itu fakta kuntit lapang maju terus pantang mundur jaksa agung tuntas mega skandal korupsi timah 300 t jaksa agung,"said Kapuspenkum Ketut Sumedana, it is true that the issue is not an issue, the fact that the field of turkeys continues to abstain from retreating, the attorney general completes the mega tin corruption scandal, 300 t attorney general"
115,115,mosok anggota densus 88 buntut jampidsus fa hendak makan malam yang usik eksistensi stelah jagung tetap 22 sangka korupsi timah mafia tambang jenderal2 beking mola ketar tir,mosok member densus 88 tail jampidsus fa want to eat dinner that teases the existence of fixed corn stelah 22 thought tin corruption mining mafia generals beking mola ketar tir
116,116,sidik jampidsus periksa adik sandra dewi kasus korupsi timah,jampidsus prints check sandra goddess sister tin corruption case
117,117,sakedap bang mau rekap dulu 1 korupsi bukit timah 2 korupsi antam 3 biaya ukt batal akhir untuk tahun 4 bpjs kris 5 tapera 6 ma rilis putus baru,sakedap bang want to recap first 1 corruption tin hill 2 corruption antam 3 ukt fee cancel final for year 4 bpjs kris 5 tapera 6 ma release breaking new
118,118,kasus korupsi timah 300 t rame tapera ada kasus besar mungkin ini alih,tin corruption case 300 t rame tapera there is a big case maybe this is over
119,119,pak ini ada bisa jamin apaapa lihat asabri korupsi timah korupsi antam hancur bumn korupsi seleweng,this pack can you guarantee anything see asabri corruption tin corruption antam destroyed bumn corruption perverted
120,120,109 ton emas dasar manusiamanusia rakus malu kalian korupsi emas segitu kalah timah,109 tons of basic gold greedy humane shame you gold corruption so lost tin
121,121,korupsi segala lini mulai jabat kampung hingga jabat negara emas timah air hingga jatah sejahtera tani korupsi korupsi senyum fasilitas lindung negara rakyat juang sendiri cari hidup yang sulit,corruption of all lines from the village office to the sheriff of the gold tin country to the prosperous ration of the peasantry corruption of the smile of the people's own state protection facilities find a difficult life
122,122,gtgt geger anggota densus ciduk pom tni kuntit jampidsus apa jadi balik ada hubung korupsi timah 300t tonton sekarang youtube ilc,gtgt geger member densus ciduk pom tni stalk jampidsus apa jadi jadi ada hubung corruption tin 300t watch now youtube ilc
123,123,semua tahu negara sedang gaduh begitu banyak kasus harun mas korupsi tambang timah antam syl blunder kasus vina putus ma tapera masih banyak itu semua cukup pecah publik mui ikut buat gaduh,all know the country is being rowdy so many cases of harun mas corruption tin mines antam syl blunder cases of vina break up ma tapera is still a lot it's all quite broken public mui come for rowdy
124,124,butuh duit banget pak habis sumber buat korupsi timah nikel freeport bumn dah ludes pak miris gw,really need money sir run out of resources for tin nickel corruption freeport bumn has run out sir miris gw
125,125,jumlah perkara korupsi besar telah tangan nah usut korupsi tambang timah jampidsus dapat lawan teror kuntit,the number of large corruption cases has been hand in hand with the corruption of tin mines jampidsus can fight the terror of stalks
126,126,definisi korupsi sangat luas rugi negara cap korupsi misal ands dipemda buat program nilai rusak lingkung anda cap korupsi hitung mirip2 case timah orde t padahal ga nyuri makanya sita aset bakal pusing klo definisi ga jelas,"the definition of corruption is very broad, the loss of the country is a corruption stamp, for example, ands in the regional government for the damaged value program, your environment is a corruption stamp, the calculation is similar to the tin case of the order t even though it is not stolen, so asset confiscation will be dizzy if the definition is not clear"
127,127,ramgkuman berita panjang mei buat rakyat bahagia naik ukt akhir tunda naik het beberapa butuh pokok korupsi timah revisi ruu emas ilegal antam sampe tapera ruu ormas gama kelola tambang akhir putus ma drama vina gak tak,ramgkuman long news mayi make people happy to go up ukt late delay to go up het some need principal corruption tin revision ruu gold illegal antam sampe tapera ruu ormas gama manage the final mine break ma drama vina or not
128,128,rugi negara rp 300 triliun kasus korupsi timah jagung tetap 21 sangka,"state losses of 300 trillion rp, the case of tin corn corruption remains 21, it is thought"
129,129,kasus korupsi timah pasuk babak akhir 22 sangka susah tetap hitung akhir rugi negara capai 300 t yukkks kawal terus sidang semua bongkar sidang jgn jaksa intimidasi,tin corruption case pasuk final round 22 think it's difficult to keep count of the final loss of the state reach 300 t yukkks guard continue the trial all dismantle the trial jgn prosecutor intimidation
130,130,terima bintang jasa sj khilaf ini tikus2 hormat gaji negara fasilitas negara tp malah gerogot negara pdhal sbenarnya duit adlh duit rakyat skrg akan tikus2 berlomba2 pecah rekor korupsi besar timah,"accept this sj khilaf service star, the rats respect the state salary, the state facilities, but even the gerogot of the state, pdhal, actually the money is the people's money, now the rats are competing to break the big tin corruption record"
131,131,korupsi sejak thn 2023 quintriliun uang negara lenyap 349 triliun 497 triliun 271 triliun hasil tambah timah tambah korupsi bts yang nya,corruption since 2023 quintrillion of state money has disappeared 349 trillion 497 trillion 271 trillion tin plus bts corruption
